metric,dataset,value
mmd_linear,ctgan_un_processed_uci,49.46494275901932
mmd_linear,uci,65.76777005908662
mmd_linear,gmm_un_processed_uci,70.25695517874556
mmd_linear,gmm_uci_factorized,90.5851072271762
mmd_linear,gmm_1000_uci_factorized,141.1165417356533
mmd_linear,gmm_1000_un_processed_uci,141.18867534433957
mmd_linear,gmm_1000_border_uci_factorized,263.2083857069665
mmd_linear,ctgan_border_uci_factorized,399.3905520392582
mmd_linear,gmm_border_uci_factorized,428.2655300727929
mmd_linear,ctgan_1000_un_processed_uci,793.3470475297654
mmd_linear,ctgan_1000_uci_factorized,1795.5564932260313
mmd_linear,ctgan_1000_border_uci_factorized,2417.928979590535
mmd_linear,copula_1000_uci_factorized,2891.6041085681354
mmd_linear,copula_1000_un_processed_uci,2891.6041085681354
mmd_linear,copula_uci_factorized,2957.427140067215
mmd_linear,copula_un_processed_uci,2957.427140067215
mmd_linear,ctgan_uci_factorized,6563.6358904337685
mmd_linear,ds_1000_uci_factorized,11811.52484206733
mmd_linear,ds_uci_factorized,15196.650328605727
mmd_linear,copula_border_uci_factorized,18598.57194656224
mmd_linear,copula_1000_border_uci_factorized,18836.681309737687
mmd_rbf,gmm_1000_uci_factorized,0.004623639589869259
mmd_rbf,gmm_1000_border_uci_factorized,0.0046236416893029545
mmd_rbf,ctgan_1000_uci_factorized,0.00462364615214309
mmd_rbf,copula_1000_uci_factorized,0.004623651573559336
mmd_rbf,copula_1000_un_processed_uci,0.004623651573559336
mmd_rbf,ctgan_1000_un_processed_uci,0.004623651652456285
mmd_rbf,ds_1000_uci_factorized,0.004623651758929899
mmd_rbf,ctgan_1000_border_uci_factorized,0.004623652437111587
mmd_rbf,copula_1000_border_uci_factorized,0.004623653388634361
mmd_rbf,gmm_1000_un_processed_uci,0.004623710531004869
mmd_rbf,uci,0.0051756509228984525
mmd_rbf,gmm_un_processed_uci,0.005181104744970586
mmd_rbf,gmm_border_uci_factorized,0.005181255594605109
mmd_rbf,gmm_uci_factorized,0.005181278632485988
mmd_rbf,ctgan_uci_factorized,0.00518128021385551
mmd_rbf,ctgan_un_processed_uci,0.005181283829254364
mmd_rbf,ds_uci_factorized,0.005181284025992674
mmd_rbf,copula_uci_factorized,0.005181284041129407
mmd_rbf,copula_un_processed_uci,0.005181284041129407
mmd_rbf,ctgan_border_uci_factorized,0.005181284076239706
mmd_rbf,copula_border_uci_factorized,0.005181287596156635
pcd,uci,0.9771369098139245
pcd,gmm_1000_uci_factorized,1.020778124148014
pcd,gmm_border_uci_factorized,1.0927316197563097
pcd,gmm_uci_factorized,1.1119476465311078
pcd,gmm_1000_border_uci_factorized,1.1160821221613355
pcd,gmm_1000_un_processed_uci,1.4297309769397326
pcd,gmm_un_processed_uci,1.608521740461843
pcd,copula_1000_uci_factorized,2.4970387910603127
pcd,copula_1000_un_processed_uci,2.4970387910603127
pcd,copula_uci_factorized,2.527665392964567
pcd,copula_un_processed_uci,2.527665392964567
pcd,copula_border_uci_factorized,2.5410538332065227
pcd,copula_1000_border_uci_factorized,2.5643359907973564
pcd,ctgan_uci_factorized,3.0731612029340236
pcd,ctgan_1000_un_processed_uci,3.1709942067319568
pcd,ctgan_1000_border_uci_factorized,3.173722458710432
pcd,ctgan_border_uci_factorized,3.2034483593430996
pcd,ctgan_1000_uci_factorized,3.205728809786328
pcd,ds_1000_uci_factorized,3.242862842387719
pcd,ctgan_un_processed_uci,3.276748463227662
pcd,ds_uci_factorized,3.299120469949117
